MarketSegmentID;SecurityID;ExecID;ApplSeqNum;PartitionID;CompletionIndicator;TradeCondition;AggressorSide;LastQty;LastPx;RestingHiddenQty;RestingCxlQty;RequestTime;AggressorTime;TransactTime;EOBICaptTime;ETICaptTime
58878;2721826;1534402944139298429;1254841;56;1;255;1;72;2302000000;;0;1534402944139282421;1534402944139295066;1534402944139328926;1534402944139330373;1534402944139281298
58878;2721826;1534402944139325059;1254842;56;1;255;1;72;2302000000;;0;1534402944139299609;1534402944139308477;1534402944139352685;1534402944139354258;1534402944139298489
52807;2504900;1534402944159945332;36700;53;1;255;2;3;8182000000;;0;1534402944159931109;1534402944159941913;1534402944159985161;1534402944159986765;1534402944159929943
52807;2504900;1534402944258366985;36718;53;0;255;1;332;8185000000;;0;1534402944258347191;1534402944258357888;1534402944258411827;1534402944258413285;1534402944258346038
52795;2504888;1534402944306543358;39696;54;1;255;1;177;996700000;;0;1534402944306515731;1534402944306526919;1534402944306588628;1534402944306590222;1534402944306514580
52795;2504888;1534402944319038102;39712;54;1;255;1;323;996900000;;0;1534402944319024823;1534402944319034956;1534402944319073066;1534402944319074549;1534402944319023691
52795;2504888;1534402944319093902;39713;54;0;255;1;772;996900000;;0;1534402944319080717;1534402944319090075;1534402944319135269;1534402944319136974;1534402944319079568
52836;2504929;1534402944358819071;213283;58;1;255;1;96;3761000000;;0;1534402944358798199;1534402944358814072;1534402944358849324;1534402944358850784;1534402944358797096
52836;2504929;1534402944358872184;213284;58;1;255;1;204;3761000000;;0;1534402944358855047;1534402944358866665;1534402944358896044;1534402944358897508;1534402944358853932
52836;2504929;1534402944363800239;213287;58;1;255;1;137;3763000000;;0;1534402944363786087;1534402944363796862;1534402944363827599;1534402944363829139;1534402944363784980
52795;2504888;1534402944644813962;39813;54;1;255;1;500;996700000;;0;1534402944644798859;1534402944644809463;1534402944644846375;1534402944644847810;1534402944644797710
52795;2504888;1534402944644874821;39814;54;1;255;1;500;996700000;;0;1534402944644861587;1534402944644870252;1534402944644904984;1534402944644906469;1534402944644860458
52807;2504900;1534402944659756413;36748;53;1;255;2;79;8181000000;;0;1534402944659741827;1534402944659753087;1534402944659793774;1534402944659795214;1534402944659740677
52979;2505072;1534402944709921868;39820;54;1;255;1;100;2121000000;;0;1534402944709865002;1534402944709916474;1534402944709965141;1534402944709966685;
52795;2504888;1534402944749613929;39826;54;1;255;2;231;996600000;;0;1534402944749600821;1534402944749610069;1534402944749646032;1534402944749647475;1534402944749599683
52795;2504888;1534402944749668763;39827;54;1;255;2;122;996600000;;0;1534402944749651759;1534402944749662700;1534402944749701808;1534402944749703292;1534402944749650620
52795;2504888;1534402944756498351;39843;54;1;255;2;700;996500000;;0;1534402944756483033;1534402944756494442;1534402944756533100;1534402944756534758;1534402944756481893
52297;2504390;1534402944883079776;1255083;56;0;255;2;154;740000000;;0;1534402944882927756;1534402944883074478;1534402944883115286;1534402944883116833;
53012;2505105;1534402945086830292;44128;50;1;255;2;466;1983000000;;0;1534402945086763135;1534402945086825066;1534402945086861843;1534402945086863296;
53012;2505105;1534402945086985973;44133;50;1;255;1;45;1983000000;;0;1534402945086971521;1534402945086981894;1534402945087013735;1534402945087015324;1534402945086970470
52983;2505076;1534402945122915650;39868;54;1;255;2;229;5557000000;;0;1534402945122897595;1534402945122912218;1534402945122965667;1534402945122967182;1534402945122896445
52967;2505060;1534402945143095321;213487;58;1;255;2;9;6304000000;;0;1534402945143042906;1534402945143090074;1534402945143120378;1534402945143121843;1534402945142987237
52807;2504900;1534402945159816233;36806;53;1;255;2;79;8179000000;;0;1534402945159799919;1534402945159810725;1534402945159855472;1534402945159856896;1534402945159798769
52807;2504900;1534402945159958002;36811;53;1;255;2;100;8179000000;;0;1534402945159943797;1534402945159953311;1534402945159992668;1534402945159994249;1534402945159942631
52836;2504929;1534402945176423006;213516;58;1;255;2;446;3760000000;;0;1534402945176376649;1534402945176418489;1534402945176449875;1534402945176451333;
